RefSeq.mRNA.ID	length	RPKM	t5	Transcript.stable.ID	Gene.stable.ID	name
NM_000137	1447	17.33	3.77358490566038	ENST00000561421	ENSG00000103876	FAH
NM_000140	3835	7.92	12.75	ENST00000262093	ENSG00000066926	FECH
NM_000141	4647	2.67	2.46913580246914	ENST00000358487	ENSG00000066468	FGFR2
NM_000142	4093	2.9	3.50877192982456	ENST00000440486	ENSG00000068078	FGFR3
NM_000144	2270	8.29	4	ENST00000484259	ENSG00000165060	FXN
NM_000152	3846	15.65	3.2258064516129	ENST00000302262	ENSG00000171298	GAA
NM_000153	4185	1.08	13.2	ENST00000261304	ENSG00000054983	GALC
NM_000155	1347	14.4	3.7037037037037	ENST00000378842	ENSG00000213930	GALT
NM_000157	2571	22.78	21.5294117647059	ENST00000572338	nan	nan
NM_000157	2571	22.78	21.5294117647059	ENST00000368373	ENSG00000177628	GBA
NM_000158	2913	17.32	12.8275862068966	ENST00000429644	ENSG00000114480	GBE1
NM_000159	1839	23.93	9.17647058823529	ENST00000222214	ENSG00000105607	GCDH
NM_000161	2941	2.49	3.77358490566038	ENST00000491895	ENSG00000131979	GCH1
NM_000163	4370	1.19	3.84615384615385	ENST00000230882	ENSG00000112964	GHR
NM_000165	3088	19.25	4.8	ENST00000282561	ENSG00000152661	GJA1
NM_000167	3591	1.34	3.63636363636364	ENST00000378945	ENSG00000198814	GK
NM_000168	5054	3.09	2.5	ENST00000395925	ENSG00000106571	GLI3
NM_000171	1715	4.33	2.1505376344086	ENST00000274576	ENSG00000145888	GLRA1
NM_000176	7286	41.3	2.89855072463768	ENST00000394464	ENSG00000113580	NR3C1
NM_000179	4264	33.88	5	ENST00000234420	ENSG00000116062	MSH6
NM_000181	2191	15.06	3.84615384615385	ENST00000304895	ENSG00000169919	GUSB
NM_000188	3962	33.66	11.6	ENST00000359426	ENSG00000156515	HK1
NM_000189	7109	47	4	ENST00000290573	ENSG00000159399	HK2
NM_000190	1526	18.97	10.1538461538462	ENST00000652429	ENSG00000256269	HMBS
NM_000191	1617	1.96	3.57142857142857	ENST00000374490	ENSG00000117305	HMGCL
NM_000195	3714	8.59	4.30769230769231	ENST00000361490	ENSG00000107521	HPS1
NM_000196	1944	2.38	6.76190476190476	ENST00000326152	ENSG00000176387	HSD11B2
NM_000197	1134	3.9	2.66666666666667	ENST00000375263	ENSG00000130948	HSD17B3
NM_000199	2740	8.98	3.57142857142857	ENST00000326317	ENSG00000181523	SGSH
NM_000201	2986	2.64	6.45614035087719	ENST00000264832	ENSG00000090339	ICAM1
NM_000202	5756	10.59	17.2173913043478	ENST00000340855	ENSG00000010404	IDS
NM_000203	2203	2.66	2.8169014084507	ENST00000514224	ENSG00000127415	IDUA
NM_000208	4691	3.92	3.84615384615385	ENST00000302850	ENSG00000171105	INSR
NM_000210	5611	3.92	11.0769230769231	ENST00000684293	ENSG00000091409	ITGA6
NM_000214	5896	9.54	2.89855072463768	ENST00000254958	ENSG00000101384	JAG1
NM_000215	4025	1.79	2.8169014084507	ENST00000458235	ENSG00000105639	JAK3
NM_000216	6314	1.16	9.57575757575758	ENST00000262648	ENSG00000011201	ANOS1
NM_000218	3262	2.98	3.03030303030303	ENST00000632153	nan	nan
NM_000218	3262	2.98	3.03030303030303	ENST00000155840	ENSG00000053918	KCNQ1
NM_000221	1899	2.69	4.36363636363636	ENST00000260599	ENSG00000138030	KHK
NM_000224	1485	53.36	16.258064516129	ENST00000388835	ENSG00000111057	KRT18
NM_000227	10511	3.55	2.46913580246914	ENST00000269217	ENSG00000053747	LAMA3
NM_000228	4339	6.02	14.0869565217391	ENST00000356082	ENSG00000196878	LAMB3
NM_000229	1354	3.55	2.73972602739726	ENST00000264005	ENSG00000213398	LCAT
NM_000232	4229	4.58	13.3333333333333	ENST00000381431	ENSG00000163069	SGCB
NM_000234	3083	17.96	3.77358490566038	ENST00000263274	ENSG00000105486	LIG1
NM_000237	3549	44.43	9.63636363636364	ENST00000650287	ENSG00000175445	LPL
NM_000238	3900	5.26	10.5333333333333	ENST00000262186	ENSG00000055118	KCNH2
NM_000244	3181	22.87	6.125	ENST00000377313	ENSG00000133895	MEN1
NM_000245	6641	12.41	10.9333333333333	ENST00000397752	ENSG00000105976	MET
NM_000248	4788	17.81	2.73972602739726	ENST00000394351	ENSG00000187098	MITF
NM_000249	2524	10.17	3.38983050847458	ENST00000231790	ENSG00000076242	MLH1
NM_000251	3145	19.05	9.44	ENST00000233146	ENSG00000095002	MSH2
NM_000252	3411	3.19	2.5974025974026	ENST00000370396	ENSG00000171100	MTM1
NM_000254	7122	7.33	8.18181818181818	ENST00000366577	ENSG00000116984	MTR
NM_000255	2798	5.89	9.90476190476191	ENST00000274813	ENSG00000146085	MMUT
NM_000263	2798	5.24	3.77358490566038	ENST00000225927	ENSG00000108784	NAGLU
NM_000264	6825	9.71	2.85714285714286	ENST00000331920	ENSG00000185920	PTCH1
NM_000267	12394	6.05	9.5	ENST00000356175	ENSG00000196712	NF1
NM_000268	6081	21.79	9.84615384615385	ENST00000338641	ENSG00000186575	NF2
NM_000270	1418	118.91	4.76190476190476	ENST00000361505	ENSG00000198805	PNP
NM_000271	4677	18.92	10.5333333333333	ENST00000269228	ENSG00000141458	NPC1
NM_000276	5165	12.53	7.61904761904762	ENST00000371113	ENSG00000122126	OCRL
NM_000280	2816	4	2.17391304347826	ENST00000639916	ENSG00000007372	PAX6
NM_000282	2518	10.92	2.7027027027027	ENST00000376285	ENSG00000175198	PCCA
NM_000286	2609	1.88	2.38095238095238	ENST00000225873	ENSG00000108733	PEX12
NM_000287	3287	3.11	4.8	ENST00000304611	ENSG00000124587	PEX6
NM_000288	1451	4.85	3.03030303030303	ENST00000318471	ENSG00000112357	PEX7
NM_000289	2812	81.1	11.04	ENST00000359794	ENSG00000152556	PFKM
NM_000290	845	5.92	2.40963855421687	ENST00000297283	ENSG00000164708	PGAM2
NM_000292	4566	8.49	3.7037037037037	ENST00000379942	ENSG00000044446	PHKA2
NM_000294	1571	13.39	5.91304347826087	ENST00000563588	ENSG00000156873	PHKG2
NM_000296	14138	4.52	3.57142857142857	ENST00000423118	ENSG00000008710	PKD1
NM_000297	5073	2.52	2.63157894736842	ENST00000237596	ENSG00000118762	PKD2
NM_000299	5451	1.3	2.5	ENST00000263946	ENSG00000081277	PKP1
NM_000303	2302	33.96	3.38983050847458	ENST00000268261	ENSG00000140650	PMM2
NM_000304	1828	182.37	5.5	ENST00000312280	ENSG00000109099	PMP22
NM_000305	1669	43.94	11.1724137931034	ENST00000222572	ENSG00000105854	PON2
NM_000309	1703	2.83	11.1428571428571	ENST00000352210	ENSG00000143224	PPOX
NM_000311	2483	14.8	8.97297297297297	ENST00000379440	ENSG00000171867	PRNP
NM_000312	1776	2.06	2.38095238095238	ENST00000234071	ENSG00000115718	PROC
NM_000313	3309	1.66	4	ENST00000394236	ENSG00000184500	PROS1
NM_000314	5572	12.57	3.57142857142857	ENST00000371953	ENSG00000171862	PTEN
NM_000314	5572	12.57	3.57142857142857	ENST00000645317	nan	nan
NM_000317	921	10.05	3.7037037037037	ENST00000280362	ENSG00000150787	PTS
NM_000318	1630	8.87	3.57142857142857	ENST00000357039	ENSG00000164751	PEX2
NM_000319	3215	30.44	7.46666666666667	ENST00000672776	nan	nan
NM_000319	3215	30.44	7.46666666666667	ENST00000266564	ENSG00000139197	PEX5
NM_000320	1550	36.36	8.33333333333333	ENST00000281243	ENSG00000151552	QDPR
NM_000321	4772	7.64	9.92	ENST00000267163	ENSG00000139687	RB1
NM_000325	2336	3.26	2.5974025974026	ENST00000644743	ENSG00000164093	PITX2
NM_000332	10692	4.18	2.56410256410256	ENST00000244769	ENSG00000124788	ATXN1
NM_000333	4416	11.34	2.53164556962025	ENST00000295900	ENSG00000163635	ATXN7
NM_000339	3131	4.5	3.27868852459016	ENST00000438926	ENSG00000070915	SLC12A3
NM_000341	2323	4.44	7.14285714285714	ENST00000260649	ENSG00000138079	SLC3A1
NM_000345	1543	28.52	5.71428571428571	ENST00000394991	ENSG00000145335	SNCA
NM_000346	3935	3.18	2.24719101123596	ENST00000245479	ENSG00000125398	SOX9
NM_000351	6366	3.22	9.92	ENST00000217961	ENSG00000101846	STS
NM_000356	4966	58.81	10.5454545454545	ENST00000323668	ENSG00000070814	TCOF1
NM_000362	5496	5.6	10.4615384615385	ENST00000266085	ENSG00000100234	TIMP3
NM_000363	787	2.45	2.40963855421687	ENST00000344887	ENSG00000129991	TNNI3
NM_000366	1797	52.74	9.2	ENST00000288398	ENSG00000140416	TPM1
NM_000367	3258	7.43	10.8	ENST00000309983	ENSG00000137364	TPMT
NM_000368	8617	7.48	3.27868852459016	ENST00000298552	ENSG00000165699	TSC1
NM_000373	2244	33.37	4	ENST00000232607	ENSG00000114491	UMPS
NM_000375	1279	10.93	3.57142857142857	ENST00000368797	ENSG00000188690	UROS
NM_000376	4791	21.37	3.50877192982456	ENST00000549336	ENSG00000111424	VDR
NM_000380	1439	6.5	2.77777777777778	ENST00000375128	ENSG00000136936	XPA
NM_000381	3452	25.83	3.125	ENST00000317552	ENSG00000101871	MID1
NM_000382	3823	14.84	10.4516129032258	ENST00000176643	ENSG00000072210	ALDH3A2
NM_000386	2417	41.6	8.47058823529412	ENST00000261714	ENSG00000108578	BLMH
NM_000387	1803	12.41	10.2068965517241	ENST00000319017	ENSG00000178537	SLC25A20
NM_000389	2281	27.2	2.5	ENST00000244741	ENSG00000124762	CDKN1A
NM_000390	5442	5.05	3.125	ENST00000357749	ENSG00000188419	CHM
NM_000392	4868	1.92	2.56410256410256	ENST00000647814	ENSG00000023839	ABCC2
NM_000398	2000	40.39	21	ENST00000352397	ENSG00000100243	CYB5R3
NM_000400	2355	21.88	8.34782608695652	ENST00000391945	ENSG00000104884	ERCC2
NM_000403	1647	30.81	10.5	ENST00000374497	ENSG00000117308	GALE
NM_000404	2409	49.24	11.5555555555556	ENST00000307363	ENSG00000170266	GLB1
NM_000408	2796	23.09	11.1304347826087	ENST00000438166	ENSG00000115159	GPD2
NM_000410	2222	6.29	11.1304347826087	ENST00000357618	ENSG00000010704	HFE
NM_000411	5991	5.21	3.125	ENST00000336648	ENSG00000159267	HLCS
NM_000413	2230	7.57	2.27272727272727	ENST00000585807	ENSG00000108786	HSD17B1
NM_000416	2059	16.21	4.88888888888889	ENST00000367739	ENSG00000027697	IFNGR1
NM_000418	3678	10.78	4.68571428571429	ENST00000395762	ENSG00000077238	IL4R
NM_000421	2145	3.23	7.2	ENST00000269576	ENSG00000186395	KRT10
NM_000422	1512	50.87	20.1	ENST00000311208	ENSG00000128422	KRT17
NM_000430	5581	19.9	4.15384615384615	ENST00000397195	ENSG00000007168	PAFAH1B1
NM_000431	1952	12.4	3.63636363636364	ENST00000228510	ENSG00000110921	MVK
NM_000433	2406	1.88	2.4390243902439	ENST00000367535	ENSG00000116701	NCF2
NM_000435	8091	9.16	5.66666666666667	ENST00000263388	ENSG00000074181	NOTCH3
NM_000437	2547	8.44	2.89855072463768	ENST00000374282	ENSG00000158006	PAFAH2
NM_000445	15249	24.12	9.41176470588235	ENST00000436759	ENSG00000178209	PLEC
NM_000447	2236	22.61	4.92307692307692	ENST00000366783	ENSG00000143801	PSEN2
NM_000449	3618	43.13	7.66666666666667	ENST00000290524	ENSG00000143390	RFX5
NM_000455	3286	10.33	2.66666666666667	ENST00000326873	ENSG00000118046	STK11
NM_000456	2564	11.78	2.63157894736842	ENST00000394115	ENSG00000139531	SUOX
NM_000461	6341	4	2.5974025974026	ENST00000396671	ENSG00000151090	THRB
NM_000462	5164	13.1	3.27868852459016	ENST00000650110	ENSG00000114062	UBE3A
NM_000465	2530	13.81	2.66666666666667	ENST00000260947	ENSG00000138376	BARD1
NM_000466	4390	2.35	3.17460317460317	ENST00000248633	ENSG00000127980	PEX1
NM_000474	1669	2.31	2.73972602739726	ENST00000242261	ENSG00000122691	TWIST1
NM_000476	2271	17.93	16	ENST00000644144	ENSG00000106992	AK1
NM_000479	2008	3.21	3.44827586206897	ENST00000221496	ENSG00000104899	AMH
NM_000489	10452	6.29	2.89855072463768	ENST00000373344	ENSG00000085224	ATRX
NM_000495	6445	9.73	2.8169014084507	ENST00000361603	ENSG00000188153	COL4A5
NM_000503	4326	14.12	2.85714285714286	ENST00000340726	ENSG00000104313	EYA1
NM_000505	2048	4.66	8.94117647058824	ENST00000253496	ENSG00000131187	F12
NM_000522	2514	1.42	2.22222222222222	ENST00000649031	ENSG00000106031	HOXA13
NM_000527	5175	42.28	2.53164556962025	ENST00000558518	ENSG00000130164	LDLR
NM_000530	1944	2.97	3.63636363636364	ENST00000533357	ENSG00000158887	MPZ
NM_000534	3239	3.75	2.73972602739726	ENST00000441310	ENSG00000064933	PMS1
NM_000535	2836	6.87	3.77358490566038	ENST00000265849	ENSG00000122512	PMS2
NM_000543	2473	3.39	15.6666666666667	ENST00000342245	ENSG00000166311	SMPD1
NM_000545	3249	2.31	2.85714285714286	ENST00000257555	ENSG00000135100	HNF1A
NM_000546	2629	36.93	11.6923076923077	ENST00000269305	ENSG00000141510	TP53
NM_000548	5675	11.75	5.71428571428571	ENST00000219476	ENSG00000103197	TSC2
NM_000551	2968	12.45	3.7037037037037	ENST00000256474	ENSG00000134086	VHL
NM_000553	5745	7.54	2.53164556962025	ENST00000298139	ENSG00000165392	WRN
NM_000560	1572	3.06	3.2258064516129	ENST00000271324	ENSG00000143119	CD53
NM_000565	4176	7.04	2.7027027027027	ENST00000368485	ENSG00000160712	IL6R
NM_000574	2308	150.63	9.25	ENST00000367064	ENSG00000196352	CD55
NM_000585	1969	5.43	2.53164556962025	ENST00000320650	ENSG00000164136	IL15
NM_000598	2638	1.78	6.70967741935484	ENST00000613132	ENSG00000146674	IGFBP3
NM_000599	6316	1.71	12	ENST00000233813	ENSG00000115461	IGFBP5
NM_000600	1125	1.71	2.5974025974026	ENST00000258743	ENSG00000136244	IL6
NM_000601	2820	3.52	2.35294117647059	ENST00000222390	ENSG00000019991	HGF
NM_000602	2876	38.89	6.28571428571429	ENST00000223095	ENSG00000106366	SERPINE1
NM_000610	5748	54.7	14.9333333333333	ENST00000428726	ENSG00000026508	CD44
NM_000611	7794	23.83	9.5	ENST00000642928	ENSG00000085063	CD59
NM_000614	1891	3.72	3.27868852459016	ENST00000361987	ENSG00000242689	CNTF
NM_000617	4103	17.26	5.05263157894737	ENST00000262052	ENSG00000110911	SLC11A2
NM_000618	7260	1.78	2.85714285714286	ENST00000337514	ENSG00000017427	IGF1
NM_000628	1935	3.98	6.66666666666667	ENST00000290200	ENSG00000243646	IL10RB
NM_000629	6099	3.62	7.2	ENST00000270139	ENSG00000142166	IFNAR1
NM_000633	6492	2.7	2.73972602739726	ENST00000333681	ENSG00000171791	BCL2
NM_000635	4015	7.37	2.85714285714286	ENST00000303657	ENSG00000087903	RFX2
NM_000636	1593	72.34	9.42857142857143	ENST00000538183	ENSG00000112096	SOD2
NM_000637	2262	63.19	13.2972972972973	ENST00000221130	ENSG00000104687	GSR
NM_000641	2354	41.36	4.17391304347826	ENST00000264563	ENSG00000095752	IL11
NM_000642	7445	2.67	15.1111111111111	ENST00000361915	ENSG00000162688	AGL
NM_000643	7445	2.67	15.1111111111111	ENST00000370163	ENSG00000162688	AGL
NM_000644	7445	2.67	15.1111111111111	ENST00000370165	ENSG00000162688	AGL
NM_000646	7445	2.67	15.1111111111111	ENST00000370161	ENSG00000162688	AGL
NM_000657	6492	2.7	2.73972602739726	ENST00000589955	ENSG00000171791	BCL2
NM_000660	2346	21.84	23.2727272727273	ENST00000221930	ENSG00000105329	TGFB1
NM_000662	1438	5.36	2.38095238095238	ENST00000307719	ENSG00000171428	NAT1
NM_000671	2644	19.82	11.25	ENST00000296412	ENSG00000197894	ADH5
NM_000676	1885	20.12	2.66666666666667	ENST00000304222	ENSG00000170425	ADORA2B
NM_000688	2407	56.33	6.35294117647059	ENST00000484952	ENSG00000023330	ALAS1
NM_000691	1722	1.06	10.2325581395349	ENST00000225740	ENSG00000108602	ALDH3A1
NM_000692	3044	56.21	4.48484848484848	ENST00000377698	ENSG00000137124	ALDH1B1
NM_000693	3442	2.1	3.44827586206897	ENST00000329841	ENSG00000184254	ALDH1A3
NM_000694	2857	19.52	6.33333333333333	ENST00000342456	ENSG00000006534	ALDH3B1
NM_000696	2500	22.62	11.2222222222222	ENST00000354775	ENSG00000143149	ALDH9A1
NM_000697	2335	2.1	2.40963855421687	ENST00000251535	ENSG00000108839	ALOX12
NM_000700	1399	30.7	17.3333333333333	ENST00000257497	ENSG00000135046	ANXA1
NM_000709	1781	6.99	19.5	ENST00000269980	ENSG00000248098	BCKDHA
NM_000712	1094	17.2	9.71428571428572	ENST00000265523	ENSG00000106605	BLVRA
NM_000716	1131	45.82	11	ENST00000243611	ENSG00000123843	C4BPB
NM_000720	7193	1.73	2.5	ENST00000288139	ENSG00000157388	CACNA1D
NM_000722	3822	14.16	3.03030303030303	ENST00000356860	ENSG00000153956	CACNA2D1
NM_000723	3687	9.08	2.66666666666667	ENST00000394303	ENSG00000067191	CACNB1
NM_000724	3721	5.39	2.4390243902439	ENST00000396576	ENSG00000165995	CACNB2
NM_000725	2714	9.74	6.42857142857143	ENST00000301050	ENSG00000167535	CACNB3
NM_000726	3185	1.66	2.29885057471264	ENST00000539935	ENSG00000182389	CACNB4
NM_000740	2757	1.5	2.1978021978022	ENST00000255380	ENSG00000133019	CHRM3
NM_000743	3020	1.05	6.15384615384615	ENST00000326828	ENSG00000080644	CHRNA3
NM_000745	2468	7.15	8	ENST00000299565	ENSG00000169684	CHRNA5
NM_000747	2437	1.3	3.77358490566038	ENST00000306071	ENSG00000170175	CHRNB1
NM_000747	2437	1.3	3.77358490566038	ENST00000639692	nan	nan
NM_000754	1289	40.88	13.0909090909091	ENST00000361682	ENSG00000093010	COMT
NM_000755	2804	2.4	6.26086956521739	ENST00000318080	ENSG00000095321	CRAT
NM_000757	2749	4.24	2.66666666666667	ENST00000329608	ENSG00000184371	CSF1
NM_000773	1667	1.73	2.35294117647059	ENST00000252945	ENSG00000130649	CYP2E1
NM_000781	1821	1.37	2.4390243902439	ENST00000268053	ENSG00000140459	CYP11A1
NM_000781	1821	1.37	2.4390243902439	ENST00000672385	nan	nan
NM_000785	2503	1.76	9.2	ENST00000228606	ENSG00000111012	CYP27B1
NM_000786	3381	33.91	10.9411764705882	ENST00000003100	ENSG00000001630	CYP51A1
NM_000788	2460	16.16	6.73684210526316	ENST00000286648	ENSG00000156136	DCK
NM_000791	3932	8.88	9.42857142857143	ENST00000439211	ENSG00000228716	DHFR
NM_000793	6703	38.05	3.57142857142857	ENST00000557010	ENSG00000211448	DIO2
NM_000808	1901	3.95	14.4	ENST00000370314	ENSG00000011677	GABRA3
NM_000819	3300	42.03	10.9565217391304	ENST00000571089	nan	nan
NM_000819	3300	42.03	10.9565217391304	ENST00000381815	ENSG00000159131	GART
NM_000820	2461	14.03	2.73972602739726	ENST00000327773	ENSG00000183087	GAS6
NM_000821	3236	7.3	10	ENST00000233838	ENSG00000115486	GGCX
NM_000825	1512	1.65	2.08333333333333	ENST00000276414	ENSG00000147437	GNRH1
NM_000830	3489	1.46	2.85714285714286	ENST00000399907	ENSG00000171189	GRIK1
NM_000836	4299	6.89	5.45454545454546	ENST00000263269	ENSG00000105464	GRIN2D
NM_000837	1986	33.52	16.9565217391304	ENST00000313269	ENSG00000178719	GRINA
NM_000844	4113	1.12	2.85714285714286	ENST00000357716	ENSG00000196277	GRM7
NM_000845	3321	1.68	2.29885057471264	ENST00000339582	ENSG00000179603	GRM8
NM_000850	1436	15.32	21.6	ENST00000369836	ENSG00000168765	GSTM4
NM_000853	1004	2.11	9.33333333333333	ENST00000612885	nan	nan
NM_000859	4471	19.64	3.63636363636364	ENST00000287936	ENSG00000113161	HMGCR
NM_000861	3870	1.69	2.73972602739726	ENST00000397056	ENSG00000196639	HRH1
NM_000864	2855	1.52	4.90566037735849	ENST00000374619	ENSG00000179546	HTR1D
NM_000868	4775	1.35	9.52941176470588	ENST00000276198	ENSG00000147246	HTR2C
NM_000874	2898	3.59	2.98507462686567	ENST00000404220	ENSG00000159110	IFNAR2
NM_000875	4989	78.1	3.03030303030303	ENST00000650285	ENSG00000140443	IGF1R
NM_000876	9090	16.35	10.3333333333333	ENST00000356956	ENSG00000197081	IGF2R
NM_000880	2116	1.5	2.56410256410256	ENST00000263851	ENSG00000104432	IL7
NM_000882	1444	2.13	2.32558139534884	ENST00000305579	ENSG00000168811	IL12A
NM_000883	2880	51.1	9.77777777777778	ENST00000338791	ENSG00000106348	IMPDH1
NM_000884	1712	107.68	17.4782608695652	ENST00000326739	ENSG00000178035	IMPDH2
NM_000889	2798	1.92	2.17391304347826	ENST00000267082	ENSG00000139626	ITGB7
NM_000890	2912	1.19	2.89855072463768	ENST00000529694	ENSG00000120457	KCNJ5
NM_000894	523	2.19	1.98019801980198	ENST00000649238	ENSG00000104826	LHB
NM_000895	2060	35.32	18.8571428571429	ENST00000228740	ENSG00000111144	LTA4H
NM_000899	5435	2.91	3.07692307692308	ENST00000644744	ENSG00000049130	KITLG
NM_000901	5749	1.86	2.73972602739726	ENST00000358102	ENSG00000151623	NR3C2
NM_000904	976	53	5.81818181818182	ENST00000380455	ENSG00000124588	NQO2
NM_000908	2651	70.52	5.33333333333333	ENST00000415167	ENSG00000113389	NPR3
NM_000909	2775	3.61	2.66666666666667	ENST00000296533	ENSG00000164128	NPY1R
NM_000916	4361	2.12	2.63157894736842	ENST00000316793	ENSG00000180914	OXTR
NM_000920	4192	63.8	3.63636363636364	ENST00000393958	ENSG00000173599	PC
NM_000921	4124	239.94	2.7027027027027	ENST00000359062	ENSG00000172572	PDE3A
NM_000922	4784	14.46	3.84615384615385	ENST00000282096	ENSG00000152270	PDE3B
NM_000925	1501	42.37	11.5555555555556	ENST00000302746	ENSG00000168291	PDHB
NM_000930	2653	1.27	8.6	ENST00000220809	ENSG00000104368	PLAT
NM_000932	3705	18.26	9.5	ENST00000279230	ENSG00000149782	PLCB3
NM_000933	5546	11.62	2.40963855421687	ENST00000378501	ENSG00000101333	PLCB4
NM_000935	4072	10.87	9.14285714285714	ENST00000360060	ENSG00000152952	PLOD2
NM_000937	6732	24.5	10.1428571428571	ENST00000643490	nan	nan
NM_000937	6732	24.5	10.1428571428571	ENST00000674977	ENSG00000181222	POLR2A
NM_000938	3748	42.28	9.57575757575758	ENST00000314595	ENSG00000047315	POLR2B
NM_000941	2509	88.36	13.3333333333333	ENST00000461988	ENSG00000127948	POR
NM_000944	4425	19.6	3.57142857142857	ENST00000394854	ENSG00000138814	PPP3CA
NM_000945	3111	33.53	4.6	ENST00000234310	ENSG00000221823	PPP3R1
NM_000946	1471	6.62	3.84615384615385	ENST00000338193	ENSG00000198056	PRIM1
NM_000947	2353	14.23	2.94117647058824	ENST00000615550	ENSG00000146143	PRIM2
